iteration,reward_mean,length_mean,games,loss
132500,-0.89,2.11,9,"[array(-1.25738229), array(-1.33720027), array(0.07981798, dtype=float32)]"
133000,-1.0,2.0,8,"[array(-1.34955359), array(-1.41618801), array(0.06663442, dtype=float32)]"
133500,-1.0,2.0,9,"[array(-1.15480977), array(-1.23347811), array(0.07866834, dtype=float32)]"
134000,-1.0,2.0,8,"[array(-1.36714067), array(-1.43651251), array(0.06937184, dtype=float32)]"
134500,-1.0,2.0,8,"[array(-1.31946783), array(-1.40131627), array(0.08184844, dtype=float32)]"
135000,-0.88,2.12,8,"[array(-1.32865713), array(-1.40195339), array(0.07329626, dtype=float32)]"
135500,-0.89,2.11,9,"[array(-1.31680741), array(-1.38703459), array(0.07022718, dtype=float32)]"
136000,-1.0,2.0,8,"[array(-1.27049483), array(-1.35250471), array(0.08200988, dtype=float32)]"
136500,-1.0,2.0,8,"[array(-1.32917679), array(-1.41588842), array(0.08671163, dtype=float32)]"
137000,-1.0,2.0,8,"[array(-1.32115448), array(-1.39236759), array(0.07121311, dtype=float32)]"
137500,-1.0,2.0,8,"[array(-1.22897782), array(-1.32001983), array(0.09104201, dtype=float32)]"
138000,-1.0,2.0,8,"[array(-1.22782297), array(-1.31885479), array(0.09103182, dtype=float32)]"
138500,-0.91,2.09,11,"[array(-1.24544316), array(-1.32401535), array(0.07857219, dtype=float32)]"
139000,-1.0,2.0,9,"[array(-1.23002992), array(-1.30271556), array(0.07268564, dtype=float32)]"
139500,-1.0,2.0,8,"[array(-1.29381605), array(-1.37484843), array(0.08103238, dtype=float32)]"
140000,-1.0,2.0,12,"[array(-1.19824435), array(-1.29612327), array(0.09787891, dtype=float32)]"
140500,-1.0,2.0,9,"[array(-1.32627769), array(-1.40590439), array(0.07962669, dtype=float32)]"
141000,-1.0,2.0,9,"[array(-1.10494649), array(-1.18933689), array(0.08439039, dtype=float32)]"
141500,-0.88,2.12,8,"[array(-1.36667914), array(-1.44423579), array(0.07755665, dtype=float32)]"
142000,-1.0,2.0,9,"[array(-1.26382873), array(-1.34363884), array(0.07981011, dtype=float32)]"
142500,-1.0,2.0,8,"[array(-1.30791524), array(-1.37618528), array(0.06827004, dtype=float32)]"
143000,-1.0,2.0,10,"[array(-1.22817747), array(-1.30512638), array(0.07694891, dtype=float32)]"
143500,-0.89,2.11,9,"[array(-1.24882078), array(-1.32740122), array(0.07858044, dtype=float32)]"
144000,-1.0,2.0,10,"[array(-1.3056436), array(-1.37019392), array(0.06455033, dtype=float32)]"
144500,-1.0,2.0,8,"[array(-1.21558059), array(-1.28718188), array(0.07160129, dtype=float32)]"
145000,-1.0,2.0,9,"[array(-1.24446569), array(-1.32304272), array(0.07857703, dtype=float32)]"
145500,-1.0,2.0,8,"[array(-1.29249746), array(-1.37245599), array(0.07995853, dtype=float32)]"
146000,-0.9,2.1,10,"[array(-1.33209281), array(-1.41410761), array(0.0820148, dtype=float32)]"
146500,-1.0,2.0,9,"[array(-1.31492636), array(-1.40682492), array(0.09189856, dtype=float32)]"
147000,-1.0,2.0,10,"[array(-1.25739518), array(-1.33343798), array(0.0760428, dtype=float32)]"
147500,-1.0,2.0,8,"[array(-1.3252855), array(-1.40490854), array(0.07962304, dtype=float32)]"
148000,-0.88,2.12,8,"[array(-1.32900559), array(-1.40865576), array(0.07965017, dtype=float32)]"
148500,-1.0,2.0,9,"[array(-1.24965789), array(-1.33830726), array(0.08864936, dtype=float32)]"
149000,-1.0,2.0,8,"[array(-1.31288338), array(-1.39725627), array(0.08437289, dtype=float32)]"
149500,-1.0,2.0,8,"[array(-1.31999893), array(-1.39786199), array(0.07786305, dtype=float32)]"
150000,-1.0,2.0,8,"[array(-1.30392439), array(-1.38020291), array(0.07627852, dtype=float32)]"
150500,-1.0,2.0,9,"[array(-1.25838576), array(-1.34235032), array(0.08396456, dtype=float32)]"
151000,-0.92,2.08,12,"[array(-1.18852142), array(-1.25903745), array(0.07051603, dtype=float32)]"
151500,-1.0,2.0,9,"[array(-1.32395076), array(-1.40478261), array(0.08083185, dtype=float32)]"
152000,-1.0,2.0,8,"[array(-1.2235795), array(-1.30052203), array(0.07694253, dtype=float32)]"
152500,-1.0,2.0,8,"[array(-1.24387721), array(-1.32687952), array(0.08300231, dtype=float32)]"
153000,-1.0,2.0,8,"[array(-1.32856944), array(-1.40941231), array(0.08084287, dtype=float32)]"
153500,-1.0,2.0,10,"[array(-1.33067037), array(-1.41149611), array(0.08082574, dtype=float32)]"
154000,-1.0,2.0,11,"[array(-1.27355991), array(-1.34975243), array(0.07619251, dtype=float32)]"
154500,-0.9,2.1,10,"[array(-1.27409623), array(-1.35027647), array(0.07618024, dtype=float32)]"
155000,-1.0,2.0,11,"[array(-1.25627363), array(-1.33498561), array(0.07871198, dtype=float32)]"
155500,-1.0,2.0,9,"[array(-1.30422154), array(-1.36877953), array(0.06455799, dtype=float32)]"
156000,-0.67,2.33,9,"[array(-1.31869402), array(-1.38889735), array(0.07020333, dtype=float32)]"
156500,-1.0,2.0,9,"[array(-1.2837846), array(-1.35995327), array(0.07616867, dtype=float32)]"
157000,-1.0,2.0,9,"[array(-1.15026542), array(-1.23820728), array(0.08794186, dtype=float32)]"
157500,-0.88,2.12,8,"[array(-1.23997164), array(-1.31855731), array(0.07858568, dtype=float32)]"
158000,-1.0,2.0,10,"[array(-1.12161593), array(-1.1869546), array(0.06533867, dtype=float32)]"
158500,-1.0,2.0,10,"[array(-1.31172761), array(-1.39070545), array(0.07897784, dtype=float32)]"
159000,-1.0,2.0,8,"[array(-1.14337632), array(-1.20640286), array(0.06302654, dtype=float32)]"
159500,-1.0,2.0,8,"[array(-1.3161807), array(-1.39052478), array(0.07434408, dtype=float32)]"
160000,-1.0,2.0,9,"[array(-1.30200623), array(-1.37012995), array(0.06812373, dtype=float32)]"
160500,-0.9,2.1,10,"[array(-1.30531687), array(-1.39072686), array(0.08540999, dtype=float32)]"
161000,-1.0,2.0,9,"[array(-1.22547903), array(-1.30945749), array(0.08397845, dtype=float32)]"
161500,-1.0,2.0,8,"[array(-1.28911787), array(-1.3755306), array(0.08641273, dtype=float32)]"
162000,-1.0,2.0,8,"[array(-1.27740203), array(-1.34934491), array(0.07194288, dtype=float32)]"
162500,-1.0,2.0,8,"[array(-1.19129406), array(-1.26669826), array(0.0754042, dtype=float32)]"
163000,-0.7,2.3,10,"[array(-1.27479292), array(-1.3437903), array(0.06899738, dtype=float32)]"
163500,-1.0,2.0,8,"[array(-1.29677715), array(-1.3709927), array(0.07421555, dtype=float32)]"
164000,-0.88,2.12,8,"[array(-1.22002066), array(-1.2906394), array(0.07061874, dtype=float32)]"
164500,-1.0,2.0,8,"[array(-1.24006266), array(-1.30650669), array(0.06644403, dtype=float32)]"
165000,-0.89,2.11,9,"[array(-1.33103317), array(-1.41067892), array(0.07964575, dtype=float32)]"
165500,-1.0,2.0,9,"[array(-1.19684705), array(-1.27323673), array(0.07638968, dtype=float32)]"
166000,-1.0,2.0,10,"[array(-1.24718099), array(-1.32796257), array(0.08078158, dtype=float32)]"
166500,-1.0,2.0,8,"[array(-1.33075235), array(-1.39635496), array(0.06560262, dtype=float32)]"
167000,-1.0,2.0,8,"[array(-1.30799771), array(-1.37808822), array(0.07009051, dtype=float32)]"
167500,-1.0,2.0,10,"[array(-1.26528135), array(-1.34398857), array(0.07870722, dtype=float32)]"
168000,-0.88,2.12,8,"[array(-1.25544792), array(-1.34409335), array(0.08864543, dtype=float32)]"
168500,-1.0,2.0,9,"[array(-1.30328651), array(-1.3678244), array(0.06453789, dtype=float32)]"
169000,-1.0,2.0,8,"[array(-1.289256), array(-1.36586085), array(0.07660484, dtype=float32)]"
169500,-0.9,2.1,10,"[array(-1.15705683), array(-1.23676509), array(0.07970826, dtype=float32)]"
170000,-1.0,2.0,8,"[array(-1.2097389), array(-1.278498), array(0.0687591, dtype=float32)]"
170500,-1.0,2.0,8,"[array(-1.2461635), array(-1.33608015), array(0.08991665, dtype=float32)]"
171000,-1.0,2.0,11,"[array(-1.31225684), array(-1.37711585), array(0.06485902, dtype=float32)]"
171500,-1.0,2.0,9,"[array(-1.30435052), array(-1.37544171), array(0.0710912, dtype=float32)]"
172000,-1.0,2.0,8,"[array(-1.24792008), array(-1.33911791), array(0.09119783, dtype=float32)]"
172500,-0.8,2.2,10,"[array(-1.19634392), array(-1.28573787), array(0.08939395, dtype=float32)]"
173000,-1.0,2.0,8,"[array(-1.2186), array(-1.29018452), array(0.07158452, dtype=float32)]"
173500,-0.88,2.12,8,"[array(-1.21915254), array(-1.30400141), array(0.08484887, dtype=float32)]"
174000,-1.0,2.0,9,"[array(-1.29075179), array(-1.37720341), array(0.08645162, dtype=float32)]"
174500,-1.0,2.0,9,"[array(-1.28648033), array(-1.35555274), array(0.06907241, dtype=float32)]"
175000,-1.0,2.0,8,"[array(-1.29254096), array(-1.37139958), array(0.07885862, dtype=float32)]"
175500,-1.0,2.0,9,"[array(-1.1608928), array(-1.23304964), array(0.07215684, dtype=float32)]"
176000,-1.0,2.0,9,"[array(-1.25746998), array(-1.34023869), array(0.08276871, dtype=float32)]"
176500,-1.0,2.0,8,"[array(-1.3396995), array(-1.40260463), array(0.06290513, dtype=float32)]"
177000,-1.0,2.0,9,"[array(-1.26412819), array(-1.34283137), array(0.07870317, dtype=float32)]"
177500,-1.0,2.0,10,"[array(-1.27644049), array(-1.35363777), array(0.07719728, dtype=float32)]"
178000,-1.0,2.0,11,"[array(-1.35176784), array(-1.43038219), array(0.07861435, dtype=float32)]"
178500,-1.0,2.0,8,"[array(-1.29136396), array(-1.36349081), array(0.07212685, dtype=float32)]"
179000,-0.9,2.1,10,"[array(-1.26553846), array(-1.3530304), array(0.08749194, dtype=float32)]"
179500,-0.8,2.2,10,"[array(-1.26931928), array(-1.35687368), array(0.0875544, dtype=float32)]"
180000,-1.0,2.0,9,"[array(-1.28064029), array(-1.35366543), array(0.07302514, dtype=float32)]"
180500,-1.0,2.0,8,"[array(-1.2231438), array(-1.30268992), array(0.07954612, dtype=float32)]"
181000,-1.0,2.0,8,"[array(-1.3366956), array(-1.41010775), array(0.07341214, dtype=float32)]"
181500,-1.0,2.0,8,"[array(-1.28170505), array(-1.36924486), array(0.08753981, dtype=float32)]"
182000,-0.89,2.11,9,"[array(-1.39361972), array(-1.46123585), array(0.06761613, dtype=float32)]"
182500,-1.0,2.0,9,"[array(-1.22129955), array(-1.30730374), array(0.08600418, dtype=float32)]"
183000,-0.89,2.11,9,"[array(-1.29905291), array(-1.37221932), array(0.07316641, dtype=float32)]"
183500,-0.89,2.11,9,"[array(-1.16368677), array(-1.24339957), array(0.0797128, dtype=float32)]"
184000,-1.0,2.0,8,"[array(-1.23793564), array(-1.32879876), array(0.09086312, dtype=float32)]"
184500,-0.89,2.11,9,"[array(-1.12311104), array(-1.20566944), array(0.08255839, dtype=float32)]"
185000,-1.0,2.0,9,"[array(-1.25697721), array(-1.3131092), array(0.05613199, dtype=float32)]"
185500,-1.0,2.0,9,"[array(-1.28635484), array(-1.36926745), array(0.08291262, dtype=float32)]"
186000,-1.0,2.0,8,"[array(-1.24546231), array(-1.30776357), array(0.06230126, dtype=float32)]"
186500,-1.0,2.0,9,"[array(-1.40585247), array(-1.47651474), array(0.07066227, dtype=float32)]"
187000,-1.0,2.0,9,"[array(-1.21455279), array(-1.28809844), array(0.07354564, dtype=float32)]"
187500,-1.0,2.0,8,"[array(-1.1803101), array(-1.26958256), array(0.08927246, dtype=float32)]"
188000,-1.0,2.0,9,"[array(-1.36438918), array(-1.44315914), array(0.07876996, dtype=float32)]"
188500,-1.0,2.0,12,"[array(-1.20722001), array(-1.28510012), array(0.07788011, dtype=float32)]"
189000,-1.0,2.0,8,"[array(-1.24332792), array(-1.3251746), array(0.08184668, dtype=float32)]"
189500,-1.0,2.0,10,"[array(-1.14118315), array(-1.2072336), array(0.06605045, dtype=float32)]"
190000,-1.0,2.0,8,"[array(-1.27901076), array(-1.36909385), array(0.09008309, dtype=float32)]"
190500,-1.0,2.0,8,"[array(-1.29673293), array(-1.36485664), array(0.06812371, dtype=float32)]"
191000,-0.9,2.1,10,"[array(-1.27634899), array(-1.34827919), array(0.0719302, dtype=float32)]"
191500,-1.0,2.0,11,"[array(-1.28070313), array(-1.34969661), array(0.06899349, dtype=float32)]"
192000,-0.78,2.22,9,"[array(-1.33672273), array(-1.40699782), array(0.07027509, dtype=float32)]"
192500,-1.0,2.0,10,"[array(-1.31905859), array(-1.38831383), array(0.06925524, dtype=float32)]"
193000,-0.9,2.1,10,"[array(-1.30493441), array(-1.38680853), array(0.08187412, dtype=float32)]"
193500,-1.0,2.0,8,"[array(-1.31493878), array(-1.38228124), array(0.06734246, dtype=float32)]"
194000,-1.0,2.0,11,"[array(-1.30717741), array(-1.38903676), array(0.08185935, dtype=float32)]"
194500,-1.0,2.0,8,"[array(-1.3120395), array(-1.38989643), array(0.07785693, dtype=float32)]"
195000,-1.0,2.0,8,"[array(-1.3075297), array(-1.39058806), array(0.08305836, dtype=float32)]"
195500,-1.0,2.0,9,"[array(-1.18204859), array(-1.27013293), array(0.08808434, dtype=float32)]"
196000,-0.89,2.11,9,"[array(-1.23191793), array(-1.30438059), array(0.07246266, dtype=float32)]"
196500,-0.89,2.11,9,"[array(-1.27350756), array(-1.35071965), array(0.07721209, dtype=float32)]"
197000,-1.0,2.0,9,"[array(-1.28543282), array(-1.35859889), array(0.07316607, dtype=float32)]"
197500,-1.0,2.0,9,"[array(-1.28761577), array(-1.36867054), array(0.08105477, dtype=float32)]"
198000,-0.88,2.12,8,"[array(-1.26187554), array(-1.340581), array(0.07870546, dtype=float32)]"
198500,-0.88,2.12,8,"[array(-1.28036134), array(-1.36443684), array(0.0840755, dtype=float32)]"
199000,-1.0,2.0,8,"[array(-1.14221826), array(-1.2228315), array(0.08061324, dtype=float32)]"
199500,-1.0,2.0,11,"[array(-1.25587191), array(-1.32983956), array(0.07396764, dtype=float32)]"
200000,-1.0,2.0,9,"[array(-1.21716652), array(-1.28974398), array(0.07257746, dtype=float32)]"
